name,world_ranking,region_ranking,country_ranking,country,city,type,acceptance_rate,high_degree,publication,website,language,,phone_no,,address
Aarhus University,"#150 of 14,131","#44 of 2,785",#2 of 27,the Czech Republic,Prague,Non-profit,46%,null,"89,633",www.au.dk,Danish;English,,+45 8942 1111,,"Nordre Ringgade 1
 Aarhus, Central Denmark Region, 8000 
Denmark"
Autonomous University of Barcelona,"#203 of 14,131","#69 of 2,785",#3 of 75,Italy,Lombardy,Non-profit,75%,Doctorate,"74,922",www.uab.cat,Spanish;Catalan,,+34 935812222,,"Campus de Bellaterra, Edificio A
 Cerdanyola del Vallès, Catalonia, 08193 
Spain"
Cardiff University,"#195 of 14,131","#66 of 2,785",#20 of 163,Germany,Hamburg State,Non-profit,20%,Doctorate,"75,474",www.cardiff.ac.uk,English,,+44 (29) 2087 4000,,"Newport Road
 Cardiff, Wales, CF10 3AT 
United Kingdom"
Catholic University of Leuven,"#77 of 14,131","#13 of 2,785",#1 of 63,Spain,Valencia,Non-profit,31%,Doctorate,"166,908",www.kuleuven.be,null,,+32 (16) 324 311,,"Naamsestraat 22
 Leuven, Flemish Brabant, 3000 
Belgium"
Catholic University of Louvain,"#265 of 14,131","#97 of 2,785",#4 of 63,the United Kingdom,Scotland,Non-profit,34%,Master,"52,453",uclouvain.be,French,,+32 (10) 472 111,,"Place de l'Université, 1
 Louvain-la-Neuve, Walloon Brabant, 1348 
Belgium"
Charles University,"#172 of 14,131","#57 of 2,785",#1 of 67,Denmark,Aarhus,Non-profit,35%,Doctorate,"66,210",cuni.cz,Czech;English;German;French,,+420 224 491 111,,"Ovocný trh 560/5
 Prague, Prague, 116 36 
Czech Republic"
Complutense University of Madrid,"#144 of 14,131","#39 of 2,785",#2 of 75,Germany,North Rhine-Westphalia,Non-profit,77%,Bachelor,"86,698",ucm.es,Spanish,,+34 913944099,,"Avenida Séneca, 2
 Madrid, Community of Madrid, 28040 
Spain"
Delft University of Technology,"#140 of 14,131","#38 of 2,785",#3 of 58,the United Kingdom,England,Non-profit,65%,Master,"82,950",www.tudelft.nl,Dutch,,+31 (15) 27 89111,,"Stevinweg 1
 Delft, South Holland, 2628 CN 
Netherlands"
Dresden University of Technology,"#214 of 14,131","#75 of 2,785",#18 of 369,Sweden,Uppsala,Non-profit,38%,Doctorate,"63,645",tu-dresden.de,German,,+49 (351) 4630,,"Mommsenstrasse 11
 Dresden, Saxony, 01069 
Germany"
Durham University,"#178 of 14,131","#58 of 2,785",#17 of 163,the United Kingdom,England,Non-profit,41%,Doctorate,"78,063",www.dur.ac.uk,English,,+44 (191) 334 2000,,"The Palatine Centre, Stockton Road
 Durham, North East England, DH1 3LE 
United Kingdom"
Erasmus University Rotterdam,"#189 of 14,131","#64 of 2,785",#7 of 58,the United Kingdom,England,Non-profit,45%,Bachelor,"81,477",www.eur.nl,Dutch;English,,+31 (10) 408 1111,,"Burgemeester Oudlaan 50
 Rotterdam, South Holland, 3062 PA 
Netherlands"
Federal Institute of Technology Lausanne,"#120 of 14,131","#31 of 2,785",#3 of 23,Germany,Bavaria,Non-profit,21%,Doctorate,"87,775",www.epfl.ch,French;English,,+41 (21) 693 1111,,"Ecublens
 Lausanne, Vaud, 1015 
Switzerland"
Free University Amsterdam,"#167 of 14,131","#53 of 2,785",#6 of 58,Germany,Baden-Wurttemberg,Non-profit,39%,Doctorate,"68,328",vu.nl,Dutch;English,,+31 (20) 598 5000,,"De Boelelaan 1105
 Amsterdam, North Holland, 1081 HV 
Netherlands"
Free University of Berlin,"#152 of 14,131","#46 of 2,785",#8 of 369,Russia,Moscow,Non-profit,15%,Doctorate,"60,237",www.fu-berlin.de,German;English,,+49 (30) 8381,,"Kaiserswerther Strasse 16-18
 Berlin, Berlin, 14195 
Germany"
Ghent University,"#116 of 14,131","#30 of 2,785",#2 of 63,the United Kingdom,England,Non-profit,32%,Doctorate,"99,103",www.ugent.be,Dutch;English,,+32 (9) 264 3011,,"Sint-Pietersnieuwstraat 25
 Ghent, East Flanders, 9000 
Belgium"
Heidelberg University - Germany,"#74 of 14,131","#12 of 2,785",#2 of 369,the United Kingdom,England,Non-profit,17%,null,"107,043",www.uni-heidelberg.de,German. English in selected programmes.,,+49 (6221) 540,,"Grabengasse 1
 Heidelberg, Baden-Wurttemberg, 69117 
Germany"
Humboldt University of Berlin,"#153 of 14,131","#47 of 2,785",#9 of 369,Switzerland,Geneva,Non-profit,18%,Doctorate,"57,371",www.hu-berlin.de,German,,+49 (30) 2093 0,,"Unter den Linden 6
 Berlin, Berlin, 10099 
Germany"
Imperial College London,"#45 of 14,131","#5 of 2,785",#5 of 163,the United Kingdom,England,Non-profit,15%,Bachelor,"186,925",www.imperial.ac.uk,English,,+44 (20) 7589 5111,,"South Kensington Campus, Exhibition Road
 London, London, SW7 2AZ 
United Kingdom"
Johannes Gutenberg University Mainz,"#219 of 14,131","#77 of 2,785",#19 of 369,the United Kingdom,England,Non-profit,35%,Doctorate,"63,859",www.uni-mainz.de,German,,+49 (6131) 39-0,,"Saarstrasse 21
 Mainz, Rhineland-Palatinate, 55122 
Germany"
Karlsruhe Institute of Technology,"#181 of 14,131","#60 of 2,785",#12 of 369,Germany,Baden-Wurttemberg,Non-profit,25%,Doctorate,"73,722",www.kit.edu,German,,+49 (721) 608 0,,"Kaiserstrasse 12
 Karlsruhe, Baden-Wurttemberg, 76131 
Germany"
Karolinska Institute,"#145 of 14,131","#40 of 2,785",#3 of 39,Germany,North Rhine-Westphalia,Non-profit,46%,Master,"103,846",ki.se,Swedish,,+46 (8) 5248 6400,,"Stockholm, Stockholm County, 171 77 
Sweden"
Kiel University,"#249 of 14,131","#92 of 2,785",#22 of 369,the Netherlands,Amsterdam,Non-profit,44%,null,"50,338",www.uni-kiel.de,German,,+49 (431) 880 00,,"Christian-Albrechts-Platz 4
 Kiel, Schleswig-Holstein, 24118 
Germany"
King's College London,"#79 of 14,131","#14 of 2,785",#7 of 163,Italy,Tuscany,Non-profit,13%,Doctorate,"105,737",www.kcl.ac.uk,English,,+44 (20) 7836 5454,,"London Strand
 London, London, WC2R 2LS 
United Kingdom"
KTH Royal Institute of Technology,"#234 of 14,131","#85 of 2,785",#6 of 39,Germany,Bavaria,Non-profit,45%,Doctorate,"59,116",www.kth.se,Swedish;English,,+46 (8) 790 6000,,"Valhallavägen 79
 Stockholm, Stockholm County, 100 44 
Sweden"
Leiden University,"#165 of 14,131","#51 of 2,785",#5 of 58,the Netherlands,Groningen,Non-profit,63%,Doctorate,"65,006",www.universiteitleiden.nl,Dutch;English,,+31 (71) 527 8011,,"Rapenburg 73
 Leiden, South Holland, 2311 EZ 
Netherlands"
London School of Economics and Political Science,"#148 of 14,131","#43 of 2,785",#16 of 163,the United Kingdom,England,Non-profit,9%,Doctorate,"34,969",www.lse.ac.uk,English,,+44 (20) 7405 7686,,"Houghton Street
 London, London, WC2A 2AE 
United Kingdom"
Lund University,"#93 of 14,131","#20 of 2,785",#1 of 39,Germany,North Rhine-Westphalia,Non-profit,34%,Doctorate,"109,613",www.lu.se,Swedish;English,,,,"PO Box 117
 Lund, Skane County, 221 00 
Sweden"
Moscow State University,"#169 of 14,131","#55 of 2,785",#1 of 385,Germany,Brandenburg,Non-profit,12%,Doctorate,"110,735",www.msu.ru,Russian;English,,+7 (95) 939 1000,,"Leninskie Gory
 Moscow, Moscow, 119992 
Russia"
National and Kapodistrian University of Athens,"#252 of 14,131","#94 of 2,785",#1 of 36,the United Kingdom,England,Non-profit,84%,Bachelor,"64,302",www.uoa.gr,Greek,,+30 (210) 368 9771,,"odos Panepistimiou 30
 Athens, Attica, 10679 
Greece"
Newcastle University,"#187 of 14,131","#63 of 2,785",#19 of 163,the Netherlands,Delft,Non-profit,87%,null,"63,050",www.ncl.ac.uk,English,,+44 (191) 208 6000,,"King's Gate
 Newcastle upon Tyne, North East England, NE1 7RU 
United Kingdom"
Normal Superior School,"#166 of 14,131","#52 of 2,785",#1 of 224,Germany,North Rhine-Westphalia,Non-profit,22%,null,"99,156",www.ens.psl.eu,French,,+33 (0)1 44 32 30 00,,"45 Rue d'Ulm
 Paris, Ile-de-France, 75230 
France"
Norwegian University of Science and Technology,"#267 of 14,131","#99 of 2,785",#3 of 29,the United Kingdom,England,Non-profit,39%,Doctorate,"60,015",www.ntnu.no,Norwegian,,+47 73 59 50 00,,"NTNU
 Trondheim, Trondelag, 7491 
Norway"
Queen Mary University of London,"#206 of 14,131","#71 of 2,785",#22 of 163,Belgium,Ghent,Non-profit,44%,null,"65,144",qmul.ac.uk,English,,+44 (20) 7882 5555,,"327 Mile End Road
 London, London, E1 4NS 
United Kingdom"
Radboud University,"#190 of 14,131","#65 of 2,785",#8 of 58,the United Kingdom,England,Non-profit,45%,Bachelor,"72,493",www.ru.nl,Dutch;English,,+31 (24) 361 61 61,,"Houtlaan 4
 Nijmegen, Gelderland, 6525 XZ 
Netherlands"
Ruhr University Bochum,"#228 of 14,131","#81 of 2,785",#20 of 369,Sweden,Lund,Non-profit,38%,Doctorate,"64,180",www.ruhr-uni-bochum.de,German;English,,+49 (234) 32 25483,,"Universitätsstrasse 150
 Bochum, North Rhine-Westphalia, 44801 
Germany"
RWTH Aachen University,"#157 of 14,131","#49 of 2,785",#11 of 369,France,Ile-de-France,Non-profit,10%,Doctorate,"85,888",rwth-aachen.de,German;English,,+49 (241) 801,,"Templergraben 55
 Aachen, North Rhine-Westphalia, 52062 
Germany"
Sapienza University of Rome,"#104 of 14,131","#25 of 2,785",#2 of 88,the Netherlands,Wageningen,Non-profit,53%,Bachelor,"138,535",www.uniroma1.it,Italian;English,,+39 06 4991 0292,,"Piazzale Aldo Moro, 5
 Roma, Lazio, 00185 
Italy"
Stockholm University,"#209 of 14,131","#73 of 2,785",#5 of 39,the United Kingdom,England,Non-profit,24%,Doctorate,"55,990",www.su.se,Swedish;English,,+46 (8) 162 000,,"Universitetsvägen 10
 Stockholm, Stockholm County, 106 91 
Sweden"
Swiss Federal Institute of Technology Zurich,"#62 of 14,131","#8 of 2,785",#1 of 23,Italy,Tuscany,Non-profit,27%,Doctorate,"109,500",ethz.ch,German;French;English,,+41 (44) 632 1111,,"Rämistrasse 101
 Zürich, Zurich, 8092 
Switzerland"
Technical University of Berlin,"#210 of 14,131","#74 of 2,785",#17 of 369,Spain,Barcelona,Non-profit,52%,Doctorate,"53,153",www.tu.berlin,German,,+49 (30) 3140,,"Strasse des 17. Juni 135
 Berlin, Berlin, 10623 
Germany"
